Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1998,349,149,42.7,---,---,---,---
2,Denmark,03 1998,179,67,37.4,---,---,---,---
3,Norway,09 1997,165,60,36.4,---,---,---,---
4,Netherlands,05 1998,150,54,36.0,05 1995,75,17,22.7
5,Finland,03 1995,200,67,33.5,---,---,---,---
6,Germany,09 1998,669,207,30.9,1997*,69,13,18.8
7,South Africa,04 1994,400,118,29.5,04 1994,54,11,20.4
8,New Zealand,10 1996,120,35,29.2,---,---,---,---
9,Argentina,10 1997,257,71,27.6,12 1995,72,4,5.6
"""",Cuba,01 1998,601,166,27.6,---,---,---,---
10,Austria,12 1995,183,48,26.2,11 1994,64,13,20.3
"""",Viet Nam,07 1997,450,118,26.2,---,---,---,---
11,Iceland,04 1995,63,16,25.4,---,---,---,---
12,Mozambique,10 1994,250,63,25.2,---,---,---,---
13,Spain,03 1996,348,86,24.7,03 1996,256,34,13.3
14,Seychelles,03 1998,34,8,23.5,---,---,---,---
15,Australia,10 1998,148,33,22.3,10 1998,76,25,32.9
16,Monaco,02 1998,18,4,22.2,---,---,---,---
"""",Namibia,12 1994,72,16,22.2,01 1992,26,1,3.8
17,China,1997-98,2979,650,21.8,---,---,---,---
18,Lao People's Democratic Rep.,12 1997,99,21,21.2,---,---,---,---
19,Eritrea,02 1994,105,22,21.0,---,---,---,---
"""",Switzerland,10 1995,200,42,21.0,10 1995,46,8,17.4
20,Canada,06 1997,301,62,20.6,1998,103,32,31.1
21,Dem. People's Rep. of Korea,07 1998,687,138,20.1,---,---,---,---
22,Luxembourg,06 1994,60,12,20.0,---,---,---,---
23,Costa Rica,02 1998,57,11,19.3,---,---,---,---
24,United Kingdom,05 1997,659,121,18.4,1999*,1165,103,8.8
25,Uganda,06 1996,276,50,18.1,---,---,---,---
26,Turkmenistan,12 1994,50,9,18.0,---,---,---,---
27,Lithuania,10 1996,137,24,17.5,---,---,---,---
"""",United Rep. of Tanzania,10 1995,275,48,17.5,---,---,---,---
28,Ecuador,05 1998,121,21,17.4,---,---,---,---
"""",Mexico,07 1997,500,87,17.4,07 1997,128,19,14.8
29,Rwanda,11 1994,70,12,17.1,---,---,---,---
30,Latvia,10 1998,100,17,17.0,---,---,---,---
31,El Salvador,03 1997,84,14,16.7,---,---,---,---
32,Dominican Republic,05 1998,149,24,16.1,05 1998,30,2,6.7
33,Suriname,05 1996,51,8,15.7,---,---,---,---
34,Guyana,12 1997,77,12,15.6,---,---,---,---
35,Angola,09 1992,220,34,15.5,---,---,---,---
36,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,06 1998,200,30,15.0,11 1998,81,9,11.1
37,Zimbabwe,04 1995,150,22,14.7,---,---,---,---
38,Jamaica,12 1997,59,8,13.6,01 1998,21,5,23.8
39,Kazakhstan,12 1995,67,9,13.4,12 1995,47,4,8.5
40,Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
"""",San Marino,05 1998,60,8,13.3,---,---,---,---
"""",United States of America,11 1998,435,58,13.3,11 1998,100,9,9.0
41,Venezuela,11 1998,206,27,13.1,11 1998,57,5,8.8
42,Poland,09 1997,460,60,13.0,09 1997,100,12,12.0
"""",Portugal,10 1995,230,30,13.0,---,---,---,---
43,Belgium,05 1995,150,19,12.7,05 1995,71,16,22.5
43,Slovakia,09 1998,150,19,12.7,---,---,---,---
44,Guatemala,11 1995,80,10,12.5,---,---,---,---
45,Philippines,05 1998,217,27,12.4,05 1998,23,4,17.4
46,Mali,07 1997,147,18,12.2,---,---,---,---
47,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
