Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,20,6,30.0
2,Sweden,09 2002,349,158,45.3,---,---,---,---
3,Denmark,11 2001,179,68,38.0,---,---,---,---
4,Finland,03 2003,200,75,37.5,---,---,---,---
5,Netherlands,01 2003,150,55,36.7,06 2003,75,22,29.3
6,Norway,09 2001,165,60,36.4,---,---,---,---
7,Cuba,01 2003,609,219,36.0,---,---,---,---
"""",Spain,03 2004,350,126,36.0,03 2004,259,60,23.2
8,Belgium,05 2003,150,53,35.3,08 2004,71,26,36.6
9,Costa Rica,02 2002,57,20,35.1,---,---,---,---
10,Argentina,10 2001,256,87,34.0,10 2001,72,24,33.3
11,Austria,11 2002,183,62,33.9,N.A.,62,13,21.0
12,South Africa (1),04 2004,400,131,32.8,06 1999,90,17,31.5
13,Germany,09 2002,603,194,32.2,N.A.,69,17,24.6
14,Iceland,05 2003,63,19,30.2,---,---,---,---
15,Mozambique,12 1999,250,75,30.0,---,---,---,---
16,Seychelles,12 2002,34,10,29.4,---,---,---,---
17,Belarus,10 2004,107,31,29.0,12 2000,61,19,31.1
18,New Zealand,07 2002,120,34,28.3,---,---,---,---
19,Viet Nam,05 2002,498,136,27.3,---,---,---,---
20,Grenada,11 2003,15,4,26.7,11 2003,13,4,30.8
21,Namibia,11 1999,72,19,26.4,11 1998,26,2,7.7
22,Bulgaria,06 2001,240,63,26.2,---,---,---,---
23,Timor-Leste (3),08 2001,88,23,26.1,---,---,---,---
24,Turkmenistan,12 1999,50,13,26.0,---,---,---,---
25,Switzerland,10 2003,200,50,25.0,10 2003,46,11,23.9
26,Australia (4),10 2004,150,37,24.7,10 2001,76,22,28.9
"""",Uganda,06 2001,304,75,24.7,---,---,---,---
27,Lao People's Democratic Rep.,02 2002,109,25,22.9,---,---,---,---
28,Tunisia,10 2004,189,43,22.8,---,---,---,---
29,Saint Vincent & the Grenadines,03 2001,22,5,22.7,---,---,---,---
30,Mexico,07 2003,500,113,22.6,07 2000,128,20,15.6
31,Eritrea,02 1994,150,33,22.0,---,---,---,---
32,Pakistan,10 2002,342,74,21.6,03 2003,100,18,18.0
33,United Rep. of Tanzania,10 2000,295,63,21.4,---,---,---,---
34,Canada,06 2004,308,65,21.1,N.A.,105,34,32.4
35,Latvia,10 2002,100,21,21.0,---,---,---,---
36,Monaco,02 2003,24,5,20.8,---,---,---,---
37,Nicaragua,11 2001,92,19,20.7,---,---,---,---
38,Lithuania,10 2004,141,29,20.6,---,---,---,---
39,China,03 2003,2985,604,20.2,---,---,---,---
"""",Poland,09 2001,460,93,20.2,09 2001,100,23,23.0
40,Dem. People's Rep. of Korea,08 2003,687,138,20.1,---,---,---,---
41,Bahamas,05 2002,40,8,20.0,05 2002,16,7,43.8
"""",Guyana,03 2001,65,13,20.0,---,---,---,---
"""",Luxembourg,06 2004,60,12,20.0,---,---,---,---
42,Trinidad and Tobago,10 2002,36,7,19.4,12 2001,31,10,32.3
43,Guinea,06 2002,114,22,19.3,---,---,---,---
"""",Slovakia,09 2002,150,29,19.3,---,---,---,---
44,Senegal,04 2001,120,23,19.2,---,---,---,---
45,Portugal,03 2002,230,44,19.1,---,---,---,---
46,Dominica,01 2000,32,6,18.8,---,---,---,---
"""",Estonia,03 2003,101,19,18.8,---,---,---,---
47,Bolivia,06 2002,130,24,18.5,06 2002,27,4,14.8
48,Burundi,06 1993,179,33,18.4,01 2002,53,10,18.9
49,Peru,04 2001,120,22,18.3,---,---,---,---
"""",The f.Y.R. of Macedonia,09 2002,120,22,18.3,---,---,---,---
50,Equatorial Guinea,04 2004,100,18,18.0,---,---,---,---
51,United Kingdom,06 2001,659,118,17.9,N.A.,677,113,16.7
52,Croatia,11 2003,152,27,17.8,---,---,---,---
53,Suriname,05 2000,51,9,17.6,---,---,---,---
54,Dominican Republic,05 2002,150,26,17.3,05 2002,32,2,6.3
55,Czech Republic,06 2002,200,34,17.0,10 2002,81,10,12.3
56,Bosnia and Herzegovina,10 2002,42,7,16.7,11 2002,15,0,0.0
"""",Panama,05 2004,78,13,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
57,Ecuador,10 2002,100,16,16.0,---,---,---,---
"""",Singapore,11 2001,94,15,16.0,---,---,---,---
