Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
71,Morocco,09 2002,325,35,10.8,9 2001,270,1,0.4
72,Barbados,01 1999,28,3,10.7,01 1999,21,7,33.3
"""",Cyprus,05 2001,56,6,10.7,---,---,---,---
"""",Romania,11 2000,345,37,10.7,11 2000,140,8,5.7
73,Lithuania,10 2000,141,15,10.6,---,---,---,---
74,Azerbaijan,11 2000,124,13,10.5,---,---,---,---
"""",Mongolia,07 2000,76,8,10.5,---,---,---,---
75,Kazakhstan,10 1999,77,8,10.4,09 1999,39,5,12.8
"""",Malaysia,11 1999,193,20,10.4,03 1998,69,18,26.1
"""",Syrian Arab Republic,11 1998,250,26,10.4,---,---,---,---
76,Belarus,10 2000,97,10,10.3,12 2000,61,19,31.1
77,Mali,07 2002,147,15,10.2,---,---,---,---
78,Kyrgyzstan,02 2000,60,6,10.0,02 2000,45,1,2.2
"""",Zimbabwe,06 2000,150,15,10.0,---,---,---,---
79,Panama,05 1999,71,7,9.9,---,---,---,---
80,Italy,05 2001,630,62,9.8,05 2001,321,25,7.8
81,Sudan,12 2000,360,35,9.7,---,---,---,---
"""",Venezuela,07 2000,165,16,9.7,---,---,---,---
82,El Salvador,03 2000,84,8,9.5,---,---,---,---
83,Bhutan,N.A.,150,14,9.3,---,---,---,---
"""",Malawi,06 1999,193,18,9.3,---,---,---,---
84,Gabon,12 2001,119,11,9.2,01 1997,91,12,13.2
"""",Malta,09 1998,65,6,9.2,---,---,---,---
"""",Thailand,01 2001,500,46,9.2,03 2000,200,21,10.5
85,Hungary,04 2002,386,35,9.1,---,---,---,---
86,Ghana,12 2000,200,18,9.0,---,---,---,---
87,Cameroon,06 2002,180,16,8.9,---,---,---,---
88,Guatemala,11 1999,113,10,8.8,---,---,---,---
"""",India,09 1999,543,48,8.8,03 2000,242,22,9.1
89,Greece,04 2000,300,26,8.7,---,---,---,---
90,Cote d'Ivoire,12 2000,223,19,8.5,---,---,---,---
91,Indonesia,06 1999,500,40,8.0,---,---,---,---
92,Guinea-Bissau,11 1999,102,8,7.8,---,---,---,---
"""",Liberia,07 1997,64,5,7.8,07 1997,26,5,19.2
93,Ethiopia,05 2000,547,42,7.7,05 2000,120,10,8.3
94,Iraq,03 2000,250,19,7.6,---,---,---,---
"""",Russian Federation,12 1999,449,34,7.6,N.A.,178,6,3.4
95,Cambodia,07 1998,122,9,7.4,03 1999,61,8,13.1
96,Central African Republic,11 1998,109,8,7.3,---,---,---,---
"""",Japan,06 2000,480,35,7.3,07 2001,247,38,15.4
97,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
"""",Yugoslavia,09 2000,138,10,7.2,09 2000,40,1,2.5
98,Belize,08 1998,29,2,6.9,06 1993,8,3,37.5
99,Algeria,05 2002,389,24,6.2,12 1997,144,8,5.6
"""",Brazil,10 2002,513,32,6.2,10 2002,80,?,?
100,Samoa,03 2001,49,3,6.1,---,---,---,---
101,Benin,03 1999,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
102,Nepal,05 1999,205,12,5.9,06 2001,60,?,?
"""",Republic of Korea,04 2000,273,16,5.9,---,---,---,---
103,Albania,06 2001,140,8,5.7,---,---,---,---
"""",Fiji Islands,08 2001,70,4,5.7,08 2001,32,?,?
"""",Gambia,01 2002,53,3,5.7,---,---,---,---
"""",Mauritius,09 2000,70,4,5.7,---,---,---,---
104,Honduras,11 2001,128,7,5.5,---,---,---,---
105,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
106,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
107,Togo,10 2002,81,4,4.9,---,---,---,---
108,Kiribati,09 1998,42,2,4.8,---,---,---,---
109,Sri Lanka,12 2001,225,10,4.4,---,---,---,---
110,Iran (Islamic Rep. of),02 2000,290,12,4.1,---,---,---,---
111,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
"""",Kenya,12 1997,224,8,3.6,---,---,---,---
112,Nigeria,02 1999,351,12,3.4,02 1999,108,3,2.8
113,Armenia,05 1999,131,4,3.1,---,---,---,---
"""",Swaziland,10 1998,65,2,3.1,10 1998,30,4,13.3
114,Marshall Islands,11 1999,33,1,3.0,---,---,---,---
115,Paraguay,05 1998,80,2,2.5,05 1998,45,8,17.8
116,Egypt,11 2000,454,11,2.4,---,---,---,---
117,Lebanon,08 2000,128,3,2.3,---,---,---,---
118,Bangladesh,10 2001,300,6,2.0,---,---,---,---
119,Vanuatu,05 2002,52,1,1.9,---,---,---,---
120,Jordan,11 1997,80,1,1.3,11 1997,40,3,7.5
121,Niger,11 1999,83,1,1.2,---,---,---,---
122,Yemen,04 1997,299,2,0.7,---,---,---,---
123,Djibouti,12 1997,65,0,0.0,---,---,---,---
"""",Kuwait,07 1999,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Nauru,04 2000,18,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Solomon Islands,12 2001,50,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0,---,---,---,---
?,Austria,11 2002,183,?,?,N.A.,62,13,21.0
?,Bahamas,05 2002,40,?,?,05 2002,16,?,?
?,Bosnia and Herzegovina,10 2002,42,?,?,11 2000,15,0,0.0
?,Chad,04 2002,155,?,?,---,---,---,---
?,Congo,05 2002,137,?,?,07 2002,60,?,?
?,Ecuador,10 2002,123,?,?,---,---,---,---
?,Guinea,06 2002,114,?,?,---,---,---,---
?,Jamaica,10 2002,60,?,?,10 2002,21,?,?
?,Lesotho,05 2002,120,?,?,05 1998,33,9,27.3
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Madagascar,12 2002,160,?,?,03 2001,90,?,?
?,Mauritania,10 2001,81,?,?,04 2000,56,1,1.8
?,Papua New Guinea,06 2002,109,?,?,---,---,---,---
?,Sao Tome and Principe,03 2002,55,?,?,---,---,---,---
?,Sierra Leone,05 2002,80,?,?,---,---,---,---
?,Tonga,03 2002,30,?,?,---,---,---,---
?,Turkey,11 2002,550,?,?,---,---,---,---
?,Tuvalu,07 2002,15,?,?,---,---,---,---
?,Ukraine,03 2002,450,?,?,---,---,---,---
