Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
1,Sweden,09 1994,349,141,40.4,---,---,---,---
2,Norway,09 1997,165,60,36.4,---,---,---,---
3,Finland,03 1995,200,67,33.5,---,---,---,---
4,Denmark,09 1994,179,59,33.0,---,---,---,---
5,Netherlands,05 1994,150,47,31.3,05 1995,75,17,22.7
6,New Zealand,10 1996,120,35,29.2,---,---,---,---
7,Argentina,10 1997,257,71,27.6,12 1995,72,4,5.6
8,Seychelles,07 1993,33,9,27.3,---,---,---,---
9,Austria,12 1995,183,48,26.2,11 1994,64,13,20.3
"""",Germany,10 1994,672,176,26.2,1997*,69,13,18.8
"""",Viet Nam,07 1997,450,118,26.2,---,---,---,---
10,Iceland,04 1995,63,16,25.4,---,---,---,---
11,Mozambique,10 1994,250,63,25.2,---,---,---,---
12,South Africa,04 1994,400,100,25.0,04 1994,90,16,17.8
13,Spain,03 1996,348,86,24.7,03 1996,256,34,13.3
14,Cuba,02 1993,589,134,22.8,---,---,---,---
15,Namibia,12 1994,72,16,22.2,01 1992,26,1,3.8
16,Eritrea,02 1994,105,22,21.0,---,---,---,---
16,Switzerland,10 1995,200,42,21.0,10 1995,46,8,17.4
17,Canada,06 1997,301,62,20.6,1994,104,24,23.1
18,Dem. People's Rep. of Korea,04 1990,687,138,20.1,---,---,---,---
19,Grenada,06 1995,15,3,20.0,06 1995,13,?,?
"""",Luxembourg,06 1994,60,12,20.0,---,---,---,---
20,United Kingdom,05 1997,659,120,18.2,1997*,1077,81,7.5
21,Uganda,06 1996,276,50,18.1,---,---,---,---
22,Turkmenistan,12 1994,50,9,18.0,---,---,---,---
23,Lithuania,10 1996,137,24,17.5,---,---,---,---
"""",United Rep. of Tanzania,10 1995,275,48,17.5,---,---,---,---
24,Rwanda,11 1994,70,12,17.1,---,---,---,---
25,Costa Rica,02 1994,57,9,15.8,---,---,---,---
26,Suriname,05 1996,51,8,15.7,---,---,---,---
27,Australia,03 1996,148,23,15.5,03 1996,76,23,30.3
"""",El Salvador,03 1997,84,13,15.5,---,---,---,---
28,Bahamas,03 1997,40,6,15.0,03 1997,16,5,31.3
"""",Czech Republic,05 1996,200,30,15.0,11 1996,81,9,11.1
29,Slovakia,10 1994,150,22,14.7,---,---,---,---
"""",Zimbabwe,04 1995,150,22,14.7,---,---,---,---
30,Mexico,07 1997,500,71,14.2,07 1997,128,16,12.5
31,Kazakstan,12 1995,67,9,13.4,12 1995,47,4,8.5
32,Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
33,Poland,09 1997,460,60,13.0,09 1997,100,11,11.0
"""",Portugal,10 1995,230,30,13.0,---,---,---,---
34,Belgium,05 1995,150,19,12.7,05 1995,71,16,22.5
35,Guatemala,11 1995,80,10,12.5,---,---,---,---
36,Mali,07 1997,147,18,12.2,---,---,---,---
37,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
"""",Ireland,06 1997,166,20,12.0,08 1997,60,11,18.3
38,Saint Lucia,05 1997,17,2,11.8,05 1997,11,2,18.2
39,Colombia,03 1994,163,19,11.7,03 1994,102,7,6.9
"""",Dominican Republic,05 1994,120,14,11.7,05 1994,30,1,3.3
"""",Jamaica,03 1993,60,7,11.7,03 1993,21,3,14.3
"""",San Marino,05 1993,60,7,11.7,---,---,---,---
"""",Senegal,05 1993,120,14,11.7,---,---,---,---
"""",United States of America,11 1996,435,51,11.7,11 1996,100,9,9.0
40,Hungary,05 1994,386,44,11.4,---,---,---,---
"""",Indonesia,05 1997,500,57,11.4,---,---,---,---
