Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
52,Israel,05 1999,120,15,12.5,---,---,---,---
53,Philippines,05 1998,217,27,12.4,05 1998,23,4,17.4
54,Mali,07 1997,147,18,12.2,---,---,---,---
55,Senegal,05 1998,140,17,12.1,01 1999,60,11,18.3
"""",Uruguay,10 1999,99,12,12.1,10 1999,31,3,9.7
56,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
"""",Congo,01 1998,75,9,12.0,---,---,---,---
"""",Ireland,06 1997,166,20,12.0,08 1997,60,11,18.3
57,Colombia,03 1998,161,19,11.8,03 1998,102,13,12.7
58,Bolivia,06 1997,130,15,11.5,06 1997,27,1,3.7
"""",Tunisia,10 1999,182,21,11.5,---,---,---,---
59,Fiji,05 1999,71,8,11.3,06 1999,32,8,25.0
60,Cape Verde,12 1995,72,8,11.1,---,---,---,---
"""",Italy,04 1996,630,70,11.1,04 1996,326,26,8.0
"""",Saint Lucia,05 1997,18,2,11.1,05 1997,11,2,18.2
61,France,05 1997,577,63,10.9,09 1998,321,19,5.9
62,Bulgaria,04 1997,240,26,10.8,---,---,---,---
"""",Chile,12 1997,120,13,10.8,12 1997,48,2,4.2
"""",Trinidad and Tobago,11 1995,37,4,10.8,11 1995,31,9,29.0
63,Barbados,01 1999,28,3,10.7,01 1999,21,7,33.3
64,Kazakhstan,10 1999,77,8,10.4,09 1999,39,5,12.8
"""",Malaysia,11 1999,193,20,10.4,03 1998,69,18,26.1
"""",Syrian Arab Republic,11 1998,250,26,10.4,---,---,---,---
65,Zambia,11 1996,158,16,10.1,---,---,---,---
66,Slovenia,11 1996,90,9,10.0,---,---,---,---
67,Panama,05 1999,71,7,9.9,---,---,---,---
68,Nicaragua,10 1996,93,9,9.7,---,---,---,---
69,Honduras,11 1997,128,12,9.4,---,---,---,---
70,Gabon,12 1996,120,11,9.2,01 1997,91,12,13.2
"""",Malta,09 1998,65,6,9.2,---,---,---,---
71,Bangladesh,06 1996,330,30,9.1,---,---,---,---
"""",Sao Tome and Principe,11 1998,55,5,9.1,---,---,---,---
72,Ghana,12 1996,200,18,9.0,---,---,---,---
"""",India,09 1999,543,49,9.0,03 2000,220,?,?
73,Republic of Moldova,03 1998,101,9,8.9,---,---,---,---
74,Guatemala,11 1999,113,10,8.8,---,---,---,---
"""",Guinea,06 1995,114,10,8.8,---,---,---,---
"""",Sierra Leone,02 1996,80,7,8.8,---,---,---,---
75,Hungary,05 1998,386,32,8.3,---,---,---,---
"""",Malawi,06 1999,193,16,8.3,---,---,---,---
76,Mauritius,12 1995,61,5,8.2,---,---,---,---
"""",Samoa,04 1996,49,4,8.2,---,---,---,---
77,Burkina Faso,05 1997,111,9,8.1,12 1995,176,21,11.9
78,Indonesia,06 1999,500,40,8.0,---,---,---,---
"""",Madagascar,05 1998,150,12,8.0,---,---,---,---
79,Mongolia,06 1996,76,6,7.9,---,---,---,---
80,Guinea-Bissau,11 1999,102,8,7.8,---,---,---,---
"""",Liberia,07 1997,64,5,7.8,07 1997,26,5,19.2
"""",Ukraine,03 1998,450,35,7.8,---,---,---,---
81,Russian Federation,12 1999,441,34,7.7,N.A.,178,1,0.6
82,Iraq,03 2000,250,19,7.6,---,---,---,---
83,Cambodia,07 1998,122,9,7.4,03 1999,61,8,13.1
84,Central African Republic,11 1998,109,8,7.3,---,---,---,---
"""",Romania,11 1996,343,25,7.3,11 1996,143,2,1.4
85,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
86,Andorra,02 1997,28,2,7.1,---,---,---,---
"""",Cyprus,05 1996,56,4,7.1,---,---,---,---
87,Belize,08 1998,29,2,6.9,08 1998,8,3,37.5
88,The F.Y.R. of Macedonia,10 1998,120,8,6.7,---,---,---,---
89,Benin,03 1999,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
90,Nepal,05 1999,205,12,5.9,06 1999,60,9,15.0
91,Brazil,10 1998,513,29,5.7,10 1998,81,6,7.4
92,Cameroon,05 1997,180,10,5.6,---,---,---,---
93,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
94,Albania,06 1997,155,8,5.2,---,---,---,---
95,Yugoslavia,11 1996,138,7,5.1,03 1998,40,4,10.0
96,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
"""",Japan,10 1996,500,25,5.0,07 1998,252,43,17.1
97,Kiribati,09 1998,41,2,4.9,---,---,---,---
"""",Sri Lanka,08 1994,225,11,4.9,---,---,---,---
"""",Togo,03 1999,81,4,4.9,---,---,---,---
98,Saint Vincent & the Grenadines,06 1998,21,1,4.8,---,---,---,---
"""",Thailand,11 1996,374,18,4.8,03 2000,200,?,?
99,Belarus,11 1996,110,5,4.5,02 1997,62,18,29.0
100,Singapore,01 1997,93,4,4.3,---,---,---,---
101,Turkey,04 1999,550,23,4.2,---,---,---,---
102,Liechtenstein,02 1997,25,1,4.0,---,---,---,---
103,Lesotho,05 1998,79,3,3.8,05 1998,33,9,27.3
"""",Mauritania,10 1996,79,3,3.8,04 2000,56,?,?
104,Haiti,06 1995,83,3,3.6,04 1997,27,?,?
"""",Kenya,12 1997,224,8,3.6,---,---,---,---
105,Algeria,06 1997,380,13,3.4,12 1997,144,8,5.6
"""",Nigeria,02 1999,351,12,3.4,02 1999,108,3,2.8
106,Armenia,05 1999,131,4,3.1,---,---,---,---
"""",Swaziland,10 1998,65,2,3.1,10 1998,30,4,13.3
107,Marshall Islands,11 1999,33,1,3.0,---,---,---,---
108,Paraguay,05 1998,80,2,2.5,05 1998,45,8,17.8
109,Chad,01 1997,125,3,2.4,---,---,---,---
"""",Ethiopia,05 1995,546,13,2.4,05 1995,108,8,7.4
110,Lebanon,08 1996,128,3,2.3,---,---,---,---
111,Bhutan,N.A.,150,3,2.0,---,---,---,---
"""",Egypt,11 1995,454,9,2.0,---,---,---,---
"""",Gambia,01 1997,49,1,2.0,---,---,---,---
"""",Solomon Islands,08 1997,49,1,2.0,---,---,---,---
112,Papua New Guinea,06 1997,109,2,1.8,---,---,---,---
113,Niger,11 1999,83,1,1.2,---,---,---,---
114,Yemen,04 1997,301,2,0.7,---,---,---,---
115,Morocco,11 1997,325,2,0.6,12 1997,270,2,0.7
116,Djibouti,12 1997,65,0,0.0,---,---,---,---
"""",Jordan,11 1997,80,0,0.0,11 1997,40,3,7.5
"""",Kuwait,07 1999,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Palau,11 1996,16,0,0.0,11 1996,14,1,7.1
"""",Tonga,03 1999,30,0,0.0,---,---,---,---
"""",Tuvalu,03 1998,12,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0.0,---,---,---,---
"""",Vanuatu,03 1998,52,0,0.0,---,---,---,---
?,Dominica,01 2000,32,?,?,---,---,---,---
?,El Salvador,03 2000,84,?,?,---,---,---,---
?,Greece,04 2000,300,?,?,---,---,---,---
?,Iran (Islamic Rep. of),02 2000,290,?,?,---,---,---,---
?,Kyrgyzstan,02 2000,45,?,?,02 2000,60,?,?
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Nauru,04 2000,18,?,?,---,---,---,---
?,Peru,04 2000,120,?,?,---,---,---,---
?,Republic of Korea,04 2000,273,?,?,---,---,---,---
?,Tajikistan,02 2000,63,?,?,03 2000,33,?,?
