Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
1,Rwanda,09 2003,80,39,48.8,09 2003,26,9,34.6
2,Sweden,09 2002,349,158,45.3,---,---,---,---
3,Costa Rica,02 2006,57,22,38.6,---,---,---,---
4,Norway,09 2005,169,64,37.9,---,---,---,---
5,Finland,03 2003,200,75,37.5,---,---,---,---
6,Denmark,02 2005,179,66,36.9,---,---,---,---
7,Netherlands,01 2003,150,55,36.7,06 2003,75,22,29.3
8,Cuba,01 2003,609,219,36.0,---,---,---,---
"""",Spain,03 2004,350,126,36.0,03 2004,259,60,23.2
9,Argentina,10 2005,257,90,35.0,10 2005,72,30,41.7
10,Mozambique,12 2004,250,87,34.8,---,---,---,---
11,Belgium,05 2003,150,52,34.7,05 2003,71,27,38.0
12,Austria,11 2002,183,62,33.9,N.A.,62,17,27.4
13,Iceland,05 2003,63,21,33.3,---,---,---,---
14,South Africa 1,04 2004,400,131,32.8,04 2004,54,18,33.3
15,New Zealand,09 2005,121,39,32.2,---,---,---,---
16,Germany,09 2005,614,195,31.8,N.A.,69,13,18.8
17,Guyana,03 2001,65,20,30.8,---,---,---,---
18,Burundi,07 2005,118,36,30.5,07 2005,49,17,34.7
19,United Rep. of Tanzania,12 2005,319,97,30.4,---,---,---,---
20,Seychelles,12 2002,34,10,29.4,---,---,---,---
21,Peru,04 2006,120,35,29.2,---,---,---,---
22,Belarus,10 2004,110,32,29.1,11 2004,58,18,31.0
23,Andorra,04 2005,28,8,28.6,---,---,---,---
24,Uganda,02 2006,322,89,27.6,---,---,---,---
25,Afghanistan,09 2005,249,68,27.3,09 2005,102,23,22.5
"""",Viet Nam,05 2002,498,136,27.3,---,---,---,---
26,Namibia,11 2004,78,21,26.9,11 2004,26,7,26.9
27,Grenada,11 2003,15,4,26.7,11 2003,13,4,30.8
28,Iraq,12 2005,275,70,25.5,---,---,---,---
"""",Suriname,05 2005,51,13,25.5,---,---,---,---
29,Timor-Leste 2,08 2001,87,22,25.3,---,---,---,---
30,Lao People's Democratic Rep.,04 2006,115,29,25.2,---,---,---,---
31,Switzerland,10 2003,200,50,25.0,10 2003,46,11,23.9
32,Australia,10 2004,150,37,24.7,10 2004,76,27,35.5
33,Liechtenstein,03 2005,25,6,24.0,---,---,---,---
34,Honduras,11 2005,128,30,23.4,---,---,---,---
35,Luxembourg,06 2004,60,14,23.3,---,---,---,---
36,Tunisia,10 2004,189,43,22.8,07 2005,112,15,13.4
37,Bulgaria,06 2005,240,53,22.1,---,---,---,---
38,Eritrea,02 1994,150,33,22.0,---,---,---,---
"""",Lithuania,10 2004,141,31,22.0,---,---,---,---
39,Ethiopia,05 2005,529,116,21.9,10 2005,112,21,18.8
40,Republic of Moldova,03 2005,101,22,21.8,---,---,---,---
41,Croatia,11 2003,152,33,21.7,---,---,---,---
42,Pakistan,10 2002,342,73,21.3,03 2006,100,17,17.0
"""",Portugal,02 2005,230,49,21.3,---,---,---,---
43,Singapore 3,05 2006,85,18,21.2,---,---,---,---
44,Latvia,10 2002,100,21,21.0,---,---,---,---
45,Canada,01 2006,308,64,20.8,N.A.,100,35,35.0
"""",Monaco,02 2003,24,5,20.8,---,---,---,---
46,Nicaragua,11 2001,92,19,20.7,---,---,---,---
47,Poland,09 2005,460,94,20.4,09 2005,100,13,13.0
48,China,02 2003,2980,604,20.3,---,---,---,---
49,Dem. People's Rep. of Korea,08 2003,687,138,20.1,---,---,---,---
50,Bahamas,05 2002,40,8,20.0,05 2002,16,7,43.8
51,Dominican Republic,05 2006,178,35,19.7,05 2006,32,1,3.1
"""",United Kingdom,05 2005,646,127,19.7,N.A.,721,126,17.5
52,Trinidad and Tobago,10 2002,36,7,19.4,10 2002,31,10,32.3
53,Guinea,06 2002,114,22,19.3,---,---,---,---
54,Senegal,04 2001,120,23,19.2,---,---,---,---
55,Estonia,03 2003,101,19,18.8,---,---,---,---
56,Saint Vincent & the Grenadines,12 2005,22,4,18.2,---,---,---,---
57,Equatorial Guinea,04 2004,100,18,18.0,---,---,---,---
"""",Venezuela,12 2005,167,30,18.0,---,---,---,---
58,Tajikistan,02 2005,63,11,17.5,03 2005,34,8,23.5
"""",Uzbekistan,12 2004,120,21,17.5,01 2005,100,15,15.0
59,Italy,04 2006,630,109,17.3,04 2006,322,44,13.7
60,Mauritius,07 2005,70,12,17.1,---,---,---,---
61,Bolivia,12 2005,130,22,16.9,12 2005,27,1,3.7
62,Bosnia and Herzegovina,10 2002,42,7,16.7,10.2002,15,0,0.0
"""",El Salvador,03 2006,84,14,16.7,---,---,---,---
"""",Panama,05 2004,78,13,16.7,---,---,---,---
